alpha,group_id,iteration,candidate_id,target_best_reward,threshold_reward,ocba_hit,uniform_hit,ocba_round_to_hit,uniform_round_to_hit,ocba_steps_to_hit,uniform_steps_to_hit,delta_round_ocba_minus_uniform,delta_steps_ocba_minus_uniform
0.5,1,5,040e9400-9c9c-4b33-a786-ef6685950493,0.2833333333333333,0.14166666666666666,1,1,0.0,0.0,24000.0,24000.0,0.0,0.0
0.5,1,5,1e7266b6-2024-4719-838b-72430ea651b8,0.13333333333333333,0.06666666666666667,1,1,0.0,0.0,24000.0,24000.0,0.0,0.0
0.5,1,5,b4df0905-8eac-4b44-a953-d8508258de10,0.13333333333333333,0.06666666666666667,1,1,0.0,0.0,24000.0,24000.0,0.0,0.0
0.5,1,5,c90fe2ae-bdb1-4b0b-a7e7-532a43ac6a69,0.13333333333333333,0.06666666666666667,1,1,0.0,0.0,24000.0,24000.0,0.0,0.0
0.5,1,5,c9e643dd-d6a6-4fbc-ab94-7e9cf1406b86,0.13333333333333333,0.06666666666666667,1,1,4.0,3.0,36000.0,28096.0,1.0,7904.0
0.5,1,5,e853f605-9f56-4449-b9dd-49141e93152b,0.11666666666666667,0.058333333333333334,1,1,0.0,0.0,24000.0,24000.0,0.0,0.0
0.5,1,10,040e9400-9c9c-4b33-a786-ef6685950493,0.2833333333333333,0.14166666666666666,1,1,0.0,0.0,24000.0,24000.0,0.0,0.0
0.5,1,10,1e7266b6-2024-4719-838b-72430ea651b8,0.13333333333333333,0.06666666666666667,1,1,0.0,0.0,24000.0,24000.0,0.0,0.0
0.5,1,10,6c7eaf9a-c9d1-4788-b8e4-ec563db68ed7,0.1,0.05,1,1,0.0,0.0,24000.0,24000.0,0.0,0.0
0.5,1,10,b4df0905-8eac-4b44-a953-d8508258de10,0.13333333333333333,0.06666666666666667,1,1,0.0,0.0,24000.0,24000.0,0.0,0.0
0.5,1,10,bc108d89-8758-43fb-9fa7-f19b1e702555,0.16666666666666666,0.08333333333333333,1,1,0.0,0.0,24000.0,24000.0,0.0,0.0
0.5,1,10,be04f977-b0a6-4353-8aac-dac17a0d62be,0.11666666666666667,0.058333333333333334,1,1,0.0,0.0,24000.0,24000.0,0.0,0.0
0.5,1,10,c90fe2ae-bdb1-4b0b-a7e7-532a43ac6a69,0.13333333333333333,0.06666666666666667,1,1,0.0,0.0,24000.0,24000.0,0.0,0.0
0.5,1,10,c9e643dd-d6a6-4fbc-ab94-7e9cf1406b86,0.13333333333333333,0.06666666666666667,1,1,4.0,3.0,36000.0,28096.0,1.0,7904.0
0.5,1,10,d90a9457-f641-4d68-ba31-f44589f01fc6,0.16666666666666666,0.08333333333333333,1,1,4.0,3.0,36000.0,30144.0,1.0,5856.0
0.5,1,10,e853f605-9f56-4449-b9dd-49141e93152b,0.11666666666666667,0.058333333333333334,1,1,0.0,0.0,24000.0,24000.0,0.0,0.0
0.5,2,5,040e9400-9c9c-4b33-a786-ef6685950493,0.08333333333333333,0.041666666666666664,1,1,0.0,0.0,24000.0,24000.0,0.0,0.0
0.5,2,5,1e7266b6-2024-4719-838b-72430ea651b8,0.15,0.075,1,1,0.0,0.0,24000.0,24000.0,0.0,0.0
0.5,2,5,b4df0905-8eac-4b44-a953-d8508258de10,0.15,0.075,1,1,0.0,0.0,24000.0,24000.0,0.0,0.0
0.5,2,5,c90fe2ae-bdb1-4b0b-a7e7-532a43ac6a69,0.15,0.075,1,1,0.0,0.0,24000.0,24000.0,0.0,0.0
0.5,2,5,c9e643dd-d6a6-4fbc-ab94-7e9cf1406b86,0.08333333333333333,0.041666666666666664,1,1,0.0,0.0,24000.0,24000.0,0.0,0.0
0.5,2,5,e853f605-9f56-4449-b9dd-49141e93152b,0.13333333333333333,0.06666666666666667,1,1,0.0,0.0,24000.0,24000.0,0.0,0.0
0.5,2,10,040e9400-9c9c-4b33-a786-ef6685950493,0.08333333333333333,0.041666666666666664,1,1,0.0,0.0,24000.0,24000.0,0.0,0.0
0.5,2,10,1e7266b6-2024-4719-838b-72430ea651b8,0.15,0.075,1,1,0.0,0.0,24000.0,24000.0,0.0,0.0
0.5,2,10,6c7eaf9a-c9d1-4788-b8e4-ec563db68ed7,0.15,0.075,1,1,5.0,1.0,39000.0,26048.0,4.0,12952.0
