strategy,added_budget,success_prob,n_runs
uniform,400000,0.25,16
uniform,800000,0.25,16
uniform,1200000,0.287054016,16
uniform,1600000,0.7603381719995067,16
uniform,2000000,0.9432543293581951,16
ocba,400000,0.5625,16
ocba,800000,0.6575,16
ocba,1200000,0.862704478820352,16
ocba,1600000,0.7360591919346842,16
ocba,2000000,0.8488045067592539,16
adapted_ocba,400000,0.125,16
adapted_ocba,800000,0.22,16
adapted_ocba,1200000,0.808760945303552,16
adapted_ocba,1600000,0.9308132146197834,16
adapted_ocba,2000000,0.9554056706276997,16
